Month,15-24,25-34,35-44,45-54,55 and over
Feb-1978,3.6,2.6,3.0,2.2,1.9
Mar-1978,3.6,2.5,2.8,1.9,1.5
Apr-1978,3.5,2.9,2.9,2.0,1.4
May-1978,3.6,3.1,3.1,1.7,1.6
Jun-1978,3.9,2.9,3.0,2.0,1.5
Jul-1978,4.1,3.1,2.8,2.1,1.5
Aug-1978,4.0,3.2,2.6,2.2,1.4
Sep-1978,3.5,3.3,2.7,2.2,1.4
Oct-1978,3.7,2.7,2.8,2.0,1.5
Nov-1978,3.7,2.6,2.7,2.1,1.5
Dec-1978,3.9,2.6,2.6,2.1,1.2
Jan-1979,3.7,2.6,2.6,2.2,1.5
Feb-1979,4.0,3.0,2.5,2.1,1.5
Mar-1979,4.0,2.7,2.5,2.0,1.1
Apr-1979,4.3,3.0,2.8,2.3,1.7
May-1979,4.0,2.7,3.0,2.5,1.6
Jun-1979,3.9,2.8,2.6,2.7,2.1
Jul-1979,3.9,2.8,2.9,2.3,1.8
Aug-1979,3.8,2.6,2.8,2.2,1.9
Sep-1979,4.0,2.7,2.9,2.0,1.5
Oct-1979,3.7,2.7,2.8,2.1,1.8
Nov-1979,4.4,2.7,3.1,2.0,1.7
Dec-1979,4.6,2.7,3.1,2.1,2.0
Jan-1980,4.5,3.0,2.7,2.0,1.7
Feb-1980,4.4,2.8,3.3,2.0,1.7
Mar-1980,4.5,2.6,3.5,2.2,1.7
Apr-1980,4.4,2.5,3.2,2.3,1.7
May-1980,4.5,2.7,2.8,2.2,1.9
Jun-1980,4.7,2.7,2.9,2.4,2.2
Jul-1980,4.6,2.6,2.9,2.2,2.0
Aug-1980,4.8,2.6,3.0,2.4,2.4
Sep-1980,4.9,2.7,3.1,2.5,1.8
Oct-1980,4.8,2.6,2.9,2.4,1.7
Nov-1980,4.6,2.6,2.7,2.6,1.9
Dec-1980,4.6,2.4,2.6,2.5,1.9
Jan-1981,4.5,2.5,2.7,2.5,2.1
Feb-1981,4.5,2.6,2.6,2.4,1.9
Mar-1981,4.4,2.9,2.7,2.4,1.8
Apr-1981,4.3,2.7,2.6,2.3,1.9
May-1981,4.4,2.5,2.9,2.3,1.6
Jun-1981,4.1,2.5,2.6,2.7,1.3
Jul-1981,4.4,3.0,2.8,2.4,1.8
Aug-1981,4.2,2.4,3.0,2.0,1.7
Sep-1981,4.7,2.4,2.6,2.1,1.8
Oct-1981,4.4,2.6,2.5,2.4,2.0
Nov-1981,4.8,2.4,2.7,2.3,1.8
Dec-1981,4.8,2.7,3.0,2.3,1.7
Jan-1982,4.8,2.6,3.2,2.2,1.5
Feb-1982,4.6,2.5,3.0,2.5,1.6
Mar-1982,4.9,2.7,2.8,2.5,1.9
Apr-1982,4.9,2.9,2.5,3.1,1.8
May-1982,5.2,2.9,3.0,2.8,1.9
Jun-1982,4.9,2.9,3.4,2.7,2.1
Jul-1982,5.0,3.0,3.5,2.7,2.0
Aug-1982,5.1,3.2,3.6,3.2,2.2
Sep-1982,5.4,3.2,3.6,3.0,2.3
Oct-1982,6.1,3.6,4.2,3.8,2.1
Nov-1982,6.1,4.1,4.5,4.0,2.3
Dec-1982,6.4,4.2,4.1,3.5,2.7
Jan-1983,6.0,3.8,3.9,3.5,2.3
Feb-1983,6.3,3.8,4.2,3.2,2.6
Mar-1983,6.8,4.0,4.2,3.5,2.7
Apr-1983,6.6,3.7,4.1,2.9,2.4
May-1983,7.1,4.1,4.4,3.0,3.2
Jun-1983,7.5,4.2,4.2,3.0,2.5
Jul-1983,7.2,3.6,4.1,2.9,2.9
Aug-1983,7.0,3.7,3.9,3.3,2.8
Sep-1983,6.4,3.6,4.2,3.4,2.8
Oct-1983,6.4,3.6,3.6,3.2,2.2
Nov-1983,5.7,3.8,3.8,3.1,2.4
Dec-1983,5.7,3.4,3.4,3.0,2.4
Jan-1984,6.2,3.4,3.6,2.9,2.4
Feb-1984,6.3,3.3,3.5,2.9,2.5
Mar-1984,6.1,3.4,3.4,2.8,3.3
Apr-1984,6.4,3.4,3.7,3.2,2.8
May-1984,6.6,3.4,3.4,2.9,2.2
Jun-1984,6.7,3.1,3.4,2.8,2.6
Jul-1984,6.3,3.3,3.3,3.3,2.5
Aug-1984,5.9,3.2,3.4,3.2,2.4
Sep-1984,6.2,3.2,3.5,3.1,2.3
Oct-1984,6.3,3.1,3.6,3.0,2.6
Nov-1984,6.2,3.0,3.2,3.3,2.4
Dec-1984,5.4,3.1,3.3,2.9,2.2
Jan-1985,5.7,3.3,3.5,3.0,2.1
Feb-1985,5.5,3.6,3.5,3.2,2.1
Mar-1985,5.6,3.1,3.3,3.1,1.7
Apr-1985,5.5,3.3,3.4,2.6,2.0
May-1985,4.9,3.2,3.3,2.6,2.0
Jun-1985,5.0,3.1,3.2,2.9,1.9
Jul-1985,5.4,3.2,3.3,2.8,1.5
Aug-1985,5.6,3.2,3.3,2.8,1.8
Sep-1985,5.3,3.1,2.9,3.0,2.0
Oct-1985,5.7,3.1,2.9,3.0,2.3
Nov-1985,5.7,3.1,2.9,2.6,2.2
Dec-1985,5.3,2.9,2.9,2.7,2.1
Jan-1986,5.6,3.0,3.0,3.0,1.9
Feb-1986,5.6,3.1,3.4,3.1,2.2
Mar-1986,5.7,3.2,3.5,3.1,2.0
Apr-1986,6.3,3.4,3.8,3.2,2.2
May-1986,6.1,3.3,3.5,3.2,1.9
Jun-1986,6.3,3.4,3.8,3.4,2.0
Jul-1986,6.3,3.5,3.8,3.1,2.0
Aug-1986,5.9,3.5,4.0,3.1,2.2
Sep-1986,6.4,3.6,3.9,2.5,2.5
Oct-1986,5.8,3.4,3.9,3.0,2.3
Nov-1986,6.3,3.4,4.1,3.2,2.8
Dec-1986,6.6,3.7,3.9,3.3,2.6
Jan-1987,6.6,3.4,3.8,3.1,2.4
Feb-1987,6.2,3.5,4.2,3.2,2.4
Mar-1987,6.2,3.6,4.3,3.2,2.8
Apr-1987,6.5,3.5,4.0,3.5,2.7
May-1987,6.6,3.7,4.2,3.6,2.4
Jun-1987,6.8,3.8,4.3,3.3,2.7
Jul-1987,7.1,3.8,3.9,3.1,2.6
Aug-1987,7.3,4.0,4.1,3.4,2.8
Sep-1987,6.8,3.9,4.1,3.3,2.1
Oct-1987,6.7,3.9,4.3,3.2,2.2
Nov-1987,6.9,3.8,3.9,3.2,2.3
Dec-1987,6.9,3.7,4.1,3.3,2.5
Jan-1988,7.2,3.7,3.9,3.3,2.5
Feb-1988,7.1,3.7,3.8,3.4,2.5
Mar-1988,6.5,3.5,3.6,3.3,2.7
Apr-1988,6.6,3.5,3.8,3.3,2.2
May-1988,5.9,3.3,3.0,2.6,2.4
Jun-1988,6.6,3.9,3.6,3.8,2.4
Jul-1988,6.2,3.3,3.6,3.2,2.4
Aug-1988,6.2,3.4,3.4,3.1,2.4
Sep-1988,6.2,3.4,3.6,3.0,2.4
Oct-1988,6.4,3.5,3.7,3.1,2.3
Nov-1988,5.7,3.4,3.9,3.2,2.1
Dec-1988,7.1,3.5,3.8,3.5,2.4
Jan-1989,6.4,3.5,3.6,3.4,2.2
Feb-1989,6.8,3.5,3.6,3.6,2.4
Mar-1989,6.2,3.2,3.5,3.5,2.8
Apr-1989,6.3,3.3,3.6,3.3,2.5
May-1989,6.2,3.4,3.6,3.7,2.7
Jun-1989,5.9,3.4,3.3,3.6,2.5
Jul-1989,6.0,3.7,3.8,3.4,2.5
Aug-1989,7.0,3.5,3.6,3.4,2.7
Sep-1989,6.9,3.8,4.2,3.6,3.1
Oct-1989,6.6,3.4,3.8,3.2,2.7
Nov-1989,6.6,3.4,3.7,3.9,2.9
Dec-1989,7.1,3.6,3.9,3.4,2.4
Jan-1990,7.4,3.8,3.8,3.8,2.6
Feb-1990,6.6,3.5,4.1,3.7,2.8
Mar-1990,7.2,3.9,3.7,3.5,2.8
Apr-1990,6.9,4.1,3.8,3.6,3.0
May-1990,7.5,4.0,4.1,3.3,2.9
Jun-1990,7.2,4.0,4.2,3.7,3.2
Jul-1990,7.1,4.1,4.5,3.8,2.9
Aug-1990,7.6,4.1,4.6,3.8,2.6
Sep-1990,8.1,4.7,4.7,4.2,3.3
Oct-1990,8.1,4.4,4.7,4.7,3.2
Nov-1990,8.5,4.8,5.1,4.6,3.2
Dec-1990,8.7,5.2,5.3,4.5,3.2
Jan-1991,8.8,5.2,5.4,4.3,3.5
Feb-1991,9.3,5.5,5.5,5.0,3.5
Mar-1991,10.6,5.5,5.8,5.0,3.7
Apr-1991,10.6,5.4,6.1,5.3,4.0
May-1991,9.1,5.4,5.6,4.8,3.8
Jun-1991,10.6,6.1,6.3,5.5,4.3
Jul-1991,11.0,6.3,6.0,6.1,4.4
Aug-1991,10.9,6.0,6.0,5.5,4.4
Sep-1991,10.9,5.9,6.2,5.5,4.7
Oct-1991,10.6,6.0,6.0,5.3,5.0
Nov-1991,11.5,6.1,6.1,5.7,4.7
Dec-1991,11.4,5.9,6.1,5.3,4.6
Jan-1992,12.0,5.9,6.7,5.3,4.7
Feb-1992,12.4,6.1,7.1,5.6,4.4
Mar-1992,12.9,6.2,6.5,5.2,4.9
Apr-1992,12.8,6.3,6.7,6.2,5.4
May-1992,13.3,6.6,7.1,5.6,5.2
Jun-1992,12.9,6.2,6.7,6.1,5.3
Jul-1992,13.3,6.3,7.0,5.7,5.6
Aug-1992,13.4,6.2,7.2,6.1,5.5
Sep-1992,14.4,6.5,7.0,6.1,6.0
Oct-1992,13.6,6.6,6.8,6.0,5.7
Nov-1992,13.2,6.9,7.4,6.0,5.2
Dec-1992,13.3,6.3,6.9,6.3,4.6
Jan-1993,13.2,6.6,6.8,6.8,4.2
Feb-1993,13.2,6.7,6.9,5.9,4.3
Mar-1993,13.3,6.5,7.0,6.7,4.2
Apr-1993,13.6,6.4,6.9,6.3,4.8
May-1993,13.4,6.6,6.9,6.3,4.4
Jun-1993,13.4,6.5,6.6,5.6,5.3
Jul-1993,13.9,6.4,6.4,5.8,4.8
Aug-1993,13.5,6.5,6.3,6.0,4.7
Sep-1993,13.7,6.9,7.7,6.2,4.7
Oct-1993,13.6,6.1,7.1,6.1,4.9
Nov-1993,13.0,6.2,6.7,5.6,4.9
Dec-1993,12.7,6.4,6.7,5.6,5.1
Jan-1994,13.5,6.0,6.9,5.5,4.0
Feb-1994,13.7,5.6,6.7,5.5,4.6
Mar-1994,12.7,6.3,7.1,5.5,4.7
Apr-1994,12.7,6.0,6.4,5.3,4.3
May-1994,13.1,6.4,6.4,5.6,4.6
Jun-1994,13.1,5.8,6.7,5.1,4.5
Jul-1994,13.3,5.8,6.4,5.1,4.1
Aug-1994,13.3,6.1,6.2,4.9,4.3
Sep-1994,12.0,5.6,5.8,4.6,3.6
Oct-1994,13.3,5.5,6.3,4.9,4.1
Nov-1994,12.9,5.3,6.3,5.4,4.7
Dec-1994,12.4,5.5,6.6,5.3,5.1
Jan-1995,12.5,5.5,6.6,5.0,4.5
Feb-1995,12.5,5.5,6.6,5.4,4.7
Mar-1995,12.3,5.5,6.5,5.4,5.0
Apr-1995,12.1,5.6,6.8,5.2,4.5
May-1995,12.0,5.6,6.6,5.1,4.8
Jun-1995,13.4,5.3,6.5,5.1,4.6
Jul-1995,12.9,5.8,6.4,5.8,4.6
Aug-1995,12.8,5.7,6.8,5.6,4.9
Sep-1995,12.6,5.8,6.9,5.7,4.6
Oct-1995,12.7,5.8,6.3,5.7,4.7
Nov-1995,12.0,5.6,6.5,5.7,5.3
Dec-1995,12.8,5.8,6.5,5.8,4.5
Jan-1996,12.8,6.0,6.0,5.4,4.0
Feb-1996,12.8,6.4,6.5,5.2,4.9
Mar-1996,12.9,6.2,6.3,5.6,5.0
Apr-1996,12.8,6.1,6.4,5.6,4.6
May-1996,12.5,5.9,6.7,5.8,4.3
Jun-1996,13.2,6.1,6.3,6.1,5.0
Jul-1996,12.7,6.0,6.6,5.9,4.6
Aug-1996,13.1,5.5,6.4,5.9,4.8
Sep-1996,12.5,5.7,6.2,5.7,4.3
Oct-1996,12.2,5.8,6.3,5.9,4.9
Nov-1996,13.0,6.0,6.6,5.7,4.4
Dec-1996,12.7,5.7,6.5,5.9,5.2
Jan-1997,12.9,5.8,6.5,6.0,5.2
Feb-1997,13.6,5.7,6.6,6.1,5.6
Mar-1997,14.3,5.6,6.7,6.1,5.5
Apr-1997,14.3,5.7,6.4,6.3,5.6
May-1997,13.8,5.9,6.7,6.3,5.9
Jun-1997,14.0,5.9,6.9,6.2,4.8
Jul-1997,14.1,5.9,6.5,6.2,5.3
Aug-1997,14.0,5.9,6.6,6.1,4.9
Sep-1997,13.5,5.7,6.7,5.4,4.7
Oct-1997,14.1,6.0,6.6,6.0,5.2
Nov-1997,14.4,5.7,6.5,6.0,5.6
Dec-1997,13.8,6.0,6.3,6.0,5.0
Jan-1998,14.2,5.5,6.3,6.4,5.6
Feb-1998,13.5,5.8,6.0,6.3,5.1
Mar-1998,13.1,6.2,6.1,6.1,5.3
Apr-1998,13.9,6.0,6.5,6.3,5.7
May-1998,13.9,5.7,6.1,6.3,5.7
Jun-1998,13.6,5.8,6.2,6.4,5.6
Jul-1998,14.0,5.6,5.7,6.4,5.6
Aug-1998,14.4,5.8,6.3,6.1,5.2
Sep-1998,14.0,5.7,5.8,5.5,4.7
Oct-1998,13.9,6.1,6.6,5.8,5.2
Nov-1998,13.9,5.7,6.3,5.9,5.0
Dec-1998,13.8,6.0,6.4,5.7,4.6
Jan-1999,13.0,6.2,6.3,5.7,4.3
Feb-1999,13.5,5.9,5.9,5.6,4.6
Mar-1999,13.5,5.3,6.3,5.8,4.9
Apr-1999,13.7,5.9,6.5,5.5,5.3
May-1999,14.1,5.8,6.2,5.9,4.4
Jun-1999,13.6,5.8,6.3,6.2,5.5
Jul-1999,12.8,5.7,6.5,5.5,5.5
Aug-1999,12.6,5.4,5.9,5.9,4.9
Sep-1999,11.7,4.7,6.3,5.4,4.3
Oct-1999,12.8,4.9,6.4,5.9,4.3
Nov-1999,12.9,5.4,6.4,5.8,4.3
Dec-1999,12.6,4.9,6.3,6.1,4.2
Jan-2000,12.6,5.1,6.2,6.1,4.3
Feb-2000,12.2,5.4,6.3,5.9,4.6
Mar-2000,10.9,4.8,5.4,5.7,3.9
Apr-2000,11.4,4.9,5.6,5.7,4.2
May-2000,12.5,5.3,6.0,6.0,4.5
Jun-2000,11.5,5.1,5.6,5.2,4.1
Jul-2000,10.9,4.7,5.5,5.0,4.5
Aug-2000,13.0,5.3,6.2,5.6,5.2
Sep-2000,11.7,5.3,5.7,5.4,4.3
Oct-2000,12.9,5.4,5.9,6.2,5.0
Nov-2000,13.4,5.7,6.0,5.9,5.6
Dec-2000,13.2,5.7,5.7,5.9,5.3
Jan-2001,12.9,5.7,6.4,5.8,4.9
Feb-2001,13.2,5.5,6.0,5.9,4.9
Mar-2001,13.5,5.6,6.1,5.6,5.3
Apr-2001,13.3,5.1,5.9,5.4,4.8
May-2001,13.6,4.8,5.7,5.2,4.8
Jun-2001,13.7,4.9,5.8,5.5,5.0
Jul-2001,14.0,5.2,5.8,5.8,5.0
Aug-2001,14.0,5.3,6.1,5.8,4.9
Sep-2001,13.9,5.5,6.2,5.9,4.5
Oct-2001,13.9,5.5,6.1,5.7,4.4
Nov-2001,13.6,5.5,6.2,5.6,4.5
Dec-2001,13.8,5.4,6.2,5.6,4.4
Jan-2002,14.0,5.6,6.0,5.5,4.7
Feb-2002,14.2,5.4,6.0,5.4,4.6
Mar-2002,14.0,5.4,6.1,5.3,4.7
Apr-2002,13.5,5.5,5.8,5.4,4.9
May-2002,13.3,5.5,5.7,5.1,4.7
Jun-2002,13.3,5.3,5.8,4.8,4.7
Jul-2002,13.4,5.3,6.0,5.1,4.6
Aug-2002,13.6,5.4,6.0,4.9,4.5
Sep-2002,12.4,5.3,6.1,5.2,4.3
Oct-2002,11.6,5.2,6.0,5.2,4.3
Nov-2002,10.8,5.1,5.9,5.4,4.4
Dec-2002,12.0,5.3,6.0,5.5,4.3
Jan-2003,13.1,5.7,6.1,5.4,4.6
Feb-2003,14.6,5.8,6.0,5.4,4.8
Mar-2003,15.0,6.1,6.1,5.7,5.0
Apr-2003,15.3,6.1,6.4,6.1,5.0
May-2003,15.0,6.1,6.3,6.1,4.7
Jun-2003,15.3,6.1,6.1,6.2,4.8
Jul-2003,15.1,6.0,6.1,6.0,4.9
Aug-2003,15.0,5.9,5.9,6.1,5.0
Sep-2003,15.6,5.9,6.0,5.9,4.8
Oct-2003,15.7,5.9,6.1,5.7,4.7
Nov-2003,15.6,6.2,6.3,5.6,5.2
Dec-2003,15.4,6.0,6.1,5.6,4.8
Jan-2004,15.0,5.7,6.1,5.6,4.4
Feb-2004,14.6,5.7,6.3,5.7,4.6
Mar-2004,14.7,5.9,6.3,6.0,5.0
Apr-2004,14.2,5.6,6.2,5.8,4.6
May-2004,14.5,6.0,6.3,6.2,4.6
Jun-2004,14.7,6.0,6.3,6.3,4.8
Jul-2004,14.6,6.0,6.2,6.1,4.6
Aug-2004,15.1,5.9,6.0,6.1,4.6
Sep-2004,14.9,5.9,6.1,6.0,4.4
Oct-2004,14.7,5.6,5.9,6.0,4.4
Nov-2004,14.4,5.5,5.8,6.1,4.5
Dec-2004,14.6,5.4,5.8,6.2,4.5
Jan-2005,14.6,5.2,6.0,6.0,4.3
Feb-2005,14.6,5.2,5.9,6.0,4.7
Mar-2005,14.6,5.2,6.0,5.9,5.0
Apr-2005,14.7,5.4,6.0,6.2,4.9
May-2005,14.4,5.1,6.0,6.0,4.8
Jun-2005,14.4,5.2,6.0,6.0,5.1
Jul-2005,13.8,5.2,5.8,5.9,4.7
Aug-2005,13.8,5.1,5.9,5.8,4.9
Sep-2005,14.0,5.2,5.9,6.0,4.4
Oct-2005,13.9,5.6,5.6,5.9,4.5
Nov-2005,13.6,5.8,5.6,6.1,4.8
Dec-2005,13.7,5.5,5.9,6.0,4.5
Jan-2006,13.8,5.3,5.8,6.1,4.5
Feb-2006,13.5,5.3,6.1,5.9,4.7
Mar-2006,13.2,5.3,6.0,5.7,4.9
Apr-2006,13.4,5.4,6.2,5.5,4.8
May-2006,13.1,5.3,6.0,5.7,4.8
Jun-2006,13.3,5.4,5.9,5.7,5.0
Jul-2006,13.7,5.2,5.9,5.8,4.5
Aug-2006,14.3,5.1,5.9,6.0,4.2
Sep-2006,14.0,5.0,6.0,5.9,3.9
Oct-2006,13.4,4.8,6.0,5.7,3.6
Nov-2006,13.1,4.8,5.9,5.4,3.6
Dec-2006,13.2,4.8,5.8,5.5,3.7
Jan-2007,13.2,4.8,5.6,5.6,4.3
Feb-2007,13.5,5.1,5.7,5.6,4.6
Mar-2007,13.3,5.0,5.5,5.5,4.7
Apr-2007,13.2,4.8,5.5,5.6,4.6
May-2007,13.2,4.7,5.5,5.6,4.6
Jun-2007,13.0,5.0,5.6,5.3,4.5
Jul-2007,12.7,5.1,5.6,5.2,4.9
Aug-2007,12.6,5.1,5.7,5.2,5.0
Sep-2007,12.6,5.0,5.5,5.0,4.6
Oct-2007,12.8,5.1,5.4,4.8,4.3
Nov-2007,12.9,4.9,5.3,4.7,4.3
Dec-2007,12.7,5.2,5.3,4.7,4.2
Jan-2008,12.2,5.3,5.2,4.9,4.2
Feb-2008,11.9,5.2,5.3,4.6,4.3
Mar-2008,11.8,5.0,5.4,4.9,4.7
Apr-2008,11.8,5.3,5.5,4.8,4.8
May-2008,11.6,5.0,5.5,4.7,4.7
Jun-2008,11.7,4.8,5.3,4.6,4.6
Jul-2008,12.0,4.7,5.4,4.8,4.3
Aug-2008,12.2,4.5,5.1,4.8,4.0
Sep-2008,12.5,4.9,5.3,4.9,4.0
Oct-2008,12.8,4.9,5.6,5.3,4.3
Nov-2008,13.3,4.9,5.7,5.1,4.5
Dec-2008,13.9,5.3,6.1,5.7,4.9
Jan-2009,14.3,5.8,6.4,5.9,5.0
Feb-2009,15.1,6.1,6.7,6.1,5.6
Mar-2009,15.1,6.4,6.7,6.4,5.8
Apr-2009,15.5,6.6,6.5,6.5,5.4
May-2009,16.2,7.1,6.4,6.6,5.3
Jun-2009,15.8,6.9,6.7,6.3,5.3
Jul-2009,15.9,7.0,6.5,6.2,5.6
Aug-2009,16.0,7.0,6.7,5.8,5.9
Sep-2009,16.0,6.8,6.9,6.1,5.4
Oct-2009,16.2,6.5,6.7,6.2,5.2
Nov-2009,16.4,6.2,6.8,6.5,5.4
Dec-2009,16.3,6.4,6.7,6.4,5.2
Jan-2010,16.3,6.7,6.8,6.4,4.7
Feb-2010,16.5,6.5,6.5,6.3,5.2
Mar-2010,15.8,6.3,6.4,6.3,5.5
Apr-2010,15.3,6.1,6.3,6.1,5.3
May-2010,14.7,5.7,6.0,6.2,5.5
Jun-2010,14.6,5.8,6.2,6.2,5.6
Jul-2010,14.4,5.6,6.2,6.5,5.7
Aug-2010,14.5,5.8,6.3,6.7,5.8
Sep-2010,15.0,5.8,6.2,6.6,5.1
Oct-2010,15.3,5.8,6.1,6.2,5.1
Nov-2010,15.5,5.4,5.7,6.2,5.2
Dec-2010,15.1,5.8,5.9,6.2,4.9
Jan-2011,14.8,5.7,5.8,6.1,5.1
Feb-2011,14.7,5.6,5.8,6.1,5.6
Mar-2011,14.6,5.9,5.8,6.3,5.7
Apr-2011,14.4,6.0,5.9,6.3,5.8
May-2011,14.2,6.2,6.0,6.3,5.5
Jun-2011,14.5,6.2,6.0,6.2,5.3
